RutaID,X,Y
14,566,723
14,562,726
14,538,726
14,564,725
24,1770,714
24,1769,721
24,1764,723
24,1760,719
24,1752,726
24,1752,730
24,1754,727
24,1759,730
24,1754,726
24,1758,722
24,1765,727
24,1769,721
24,1776,721
24,1771,714
35,1149,707
35,1169,730
35,1157,709
35,1157,713
35,1150,707
46,1859,700
46,1834,720
46,1834,723
46,1843,718
46,1841,715
46,1845,715
46,1850,709
46,1854,719
46,1853,708
46,1860,701
84,733,680
84,741,689
84,726,699
84,724,688
84,724,698
84,719,702
84,720,707
84,713,703
84,720,711
84,708,730
84,721,713
84,726,701
84,736,691
84,766,693
84,784,687
84,776,686
84,762,690
84,748,686
84,739,687
84,735,680
84,733,681
89,669,678
89,671,682
89,677,681
89,688,685
89,683,682
89,686,681
89,694,687
89,688,681
89,691,679
89,671,678
91,830,677
91,814,688
91,814,691
91,821,689
91,831,677
94,1169,676
94,1178,686
94,1182,705
94,1192,721
94,1191,730
94,1192,720
94,1185,711
94,1178,685
94,1171,676
95,765,676
95,789,676
102,811,672
102,795,675
102,793,679
102,815,672
104,1121,670
104,1106,675
104,1072,674
104,1074,677
104,1062,679
104,1057,684
104,1040,682
104,1028,687
104,1016,685
104,1057,685
104,1067,682
104,1070,677
104,1080,679
104,1079,677
104,1084,675
104,1106,676
104,1114,672
104,1135,670
105,1143,669
105,1142,672
105,1138,672
105,1146,679
105,1146,674
105,1156,669
105,1167,673
105,1158,669
105,1149,672
105,1144,670
124,640,656
124,659,673
124,641,656
135,1920,648
135,1927,648
139,882,645
139,860,657
139,883,645
149,932,628
149,899,639
149,906,639
149,934,628
167,713,607
167,704,620
167,704,629
167,690,636
167,670,664
167,670,671
167,662,674
167,666,684
167,657,689
167,646,702
167,639,705
167,637,703
167,644,696
167,634,705
167,620,709
167,628,709
167,620,723
167,621,730
167,623,721
167,632,707
167,646,703
167,650,697
167,669,684
167,665,678
167,671,671
167,679,675
167,685,669
167,679,673
167,674,672
167,671,664
167,691,636
167,705,630
167,705,620
167,710,613
167,715,612
167,713,608
174,1079,596
174,1080,620
174,1076,622
174,1080,620
174,1079,607
177,620,592
177,620,615
177,628,623
177,621,616
177,621,593
192,586,575
192,594,580
192,610,577
192,593,579
192,587,576
196,731,566
196,730,581
196,719,603
196,729,590
196,732,567
198,635,562
198,621,572
198,615,569
198,619,568
198,614,564
198,612,575
198,616,573
198,617,579
198,618,572
198,621,574
198,635,564
199,1111,560
199,1095,572
199,1066,587
199,1097,574
199,1108,565
199,1118,574
199,1119,587
199,1118,574
199,1109,563
199,1112,560
213,1318,544
213,1318,551
213,1310,550
213,1318,551
213,1325,559
213,1328,558
213,1318,547
231,1050,532
231,1043,541
231,1038,574
231,1024,591
231,1039,574
231,1043,542
231,1052,532
241,784,528
241,797,537
241,817,536
241,823,544
241,832,547
241,833,551
241,838,551
241,839,558
241,842,557
241,848,563
241,847,568
241,852,573
241,860,573
241,876,582
241,883,581
241,896,589
241,903,587
241,905,594
241,917,591
241,920,584
241,916,591
241,906,594
241,904,586
241,896,587
241,882,579
241,869,579
241,868,574
241,852,571
241,857,556
241,854,557
241,854,565
241,850,568
241,849,562
241,839,555
241,837,548
241,824,544
241,820,537
241,800,537
241,785,528
259,746,516
259,776,521
259,782,526
259,776,521
259,768,521
259,757,516
276,868,494
276,880,518
276,897,542
276,880,518
276,869,495
305,608,474
305,608,482
305,600,497
305,601,503
305,593,501
305,600,505
305,602,513
305,603,495
305,611,478
305,618,475
305,613,474
308,813,472
308,801,479
308,791,493
308,801,480
308,816,472
338,833,457
338,830,461
338,826,460
338,827,463
338,818,470
338,824,465
338,827,466
338,838,481
338,861,525
338,863,534
338,859,555
338,863,543
338,862,527
338,839,480
338,827,465
338,833,459
345,663,454
345,640,470
345,630,468
345,636,471
345,642,471
345,663,458
345,660,457
345,664,454
373,1460,445
373,1462,448
373,1454,457
373,1461,453
373,1467,458
373,1462,453
373,1466,446
373,1490,446
373,1464,448
373,1461,445
424,1362,422
424,1365,425
424,1362,427
424,1366,427
424,1372,433
424,1369,426
424,1408,427
424,1367,426
424,1363,423
439,717,416
439,717,420
439,713,422
439,717,421
439,726,431
439,723,437
439,725,447
439,720,449
439,725,450
439,724,465
439,731,475
439,733,519
439,698,528
439,677,538
439,670,537
439,645,548
439,636,559
439,648,547
439,657,546
439,670,538
439,677,539
439,694,530
439,730,520
439,738,534
439,747,541
439,743,554
439,748,542
439,735,528
439,734,518
439,741,517
439,739,514
439,751,505
439,773,496
439,748,506
439,736,516
439,733,513
439,730,488
439,732,474
439,725,464
439,727,454
439,724,438
439,727,429
439,743,426
439,754,431
439,772,431
439,783,441
439,785,449
439,784,440
439,788,439
439,781,438
439,772,430
439,758,431
439,749,426
439,730,426
439,725,429
439,719,422
439,725,418
439,719,420
439,717,417
452,1456,410
452,1449,414
452,1445,413
452,1430,426
452,1412,426
452,1416,426
452,1417,429
452,1419,426
452,1433,425
452,1440,418
452,1461,410
471,1540,403
471,1548,403
483,1124,398
483,1108,414
483,1105,432
483,1117,437
483,1128,452
483,1126,464
483,1130,471
483,1122,478
483,1119,487
483,1122,495
483,1111,498
483,1096,516
483,1087,516
483,1079,525
483,1068,527
483,1078,526
483,1088,517
483,1098,515
483,1114,497
483,1129,496
483,1136,486
483,1146,487
483,1159,477
483,1145,486
483,1135,485
483,1127,496
483,1120,489
483,1122,480
483,1131,472
483,1127,464
483,1128,449
483,1131,448
483,1117,436
483,1106,432
483,1106,420
483,1123,399
492,1334,392
492,1336,397
492,1333,399
492,1330,396
492,1332,400
492,1336,397
492,1342,399
492,1361,420
492,1335,392
494,1140,387
494,1126,396
494,1132,395
494,1140,388
494,1153,390
494,1147,387
496,1164,385
496,1155,391
496,1164,386
496,1180,391
496,1183,387
496,1179,390
496,1165,386
530,1441,361
530,1426,375
530,1419,374
530,1404,380
530,1385,363
530,1403,380
530,1413,379
530,1419,375
530,1425,376
530,1447,362
530,1455,366
530,1451,362
530,1441,363
580,1703,341
580,1699,350
580,1697,345
580,1699,355
580,1693,355
580,1694,361
580,1696,357
580,1699,359
580,1696,366
580,1693,363
580,1695,375
580,1698,373
580,1705,391
580,1702,395
580,1705,396
580,1705,403
580,1700,409
580,1705,405
580,1707,397
580,1719,394
580,1738,378
580,1718,394
580,1707,392
580,1708,384
580,1703,383
580,1698,367
580,1702,361
580,1707,365
580,1704,361
580,1708,355
580,1703,360
580,1700,348
580,1702,345
580,1709,346
580,1712,349
580,1709,353
580,1714,348
580,1704,342
594,801,336
594,805,351
594,826,387
594,816,404
594,816,415
594,819,398
594,824,392
594,830,390
594,841,394
594,829,388
594,827,384
594,837,369
594,826,385
594,815,368
594,802,337
597,1554,334
597,1568,354
597,1565,343
597,1555,335
606,1375,331
606,1374,338
606,1362,355
606,1357,352
606,1346,352
606,1337,358
606,1329,380
606,1326,369
606,1327,384
606,1321,411
606,1294,391
606,1263,374
606,1264,369
606,1259,371
606,1251,365
606,1257,372
606,1254,374
606,1258,379
606,1258,386
606,1268,403
606,1262,420
606,1267,415
606,1265,424
606,1258,430
606,1250,430
606,1248,434
606,1236,438
606,1236,446
606,1232,448
606,1237,449
606,1234,454
606,1223,450
606,1230,455
606,1224,462
606,1215,465
606,1201,464
606,1197,468
606,1166,468
606,1183,467
606,1194,469
606,1186,477
606,1150,488
606,1126,513
606,1109,526
606,1076,543
606,1053,565
606,1042,587
606,1047,583
606,1047,591
606,1055,565
606,1076,544
606,1100,533
606,1130,510
606,1130,516
606,1133,508
606,1151,490
606,1188,477
606,1205,466
606,1220,467
606,1218,470
606,1205,471
606,1227,469
606,1219,466
606,1233,456
606,1236,461
606,1229,467
606,1239,460
606,1235,456
606,1237,451
606,1253,444
606,1253,436
606,1264,429
606,1268,421
606,1270,422
606,1269,416
606,1279,403
606,1285,403
606,1300,411
606,1301,417
606,1294,412
606,1303,418
606,1304,413
606,1312,417
606,1306,419
606,1310,422
606,1288,443
606,1276,462
606,1268,462
606,1277,464
606,1269,470
606,1274,475
606,1271,487
606,1276,494
606,1277,509
606,1274,526
606,1266,535
606,1262,548
606,1262,567
606,1278,606
606,1295,624
606,1304,623
606,1312,636
606,1311,639
606,1322,649
606,1340,658
606,1347,684
606,1350,685
606,1353,681
606,1362,684
606,1361,688
606,1374,702
606,1388,711
606,1388,719
606,1393,724
606,1390,730
606,1404,730
606,1401,724
606,1413,705
606,1427,673
606,1441,662
606,1449,660
606,1449,657
606,1430,667
606,1429,662
606,1435,654
606,1437,640
606,1434,655
606,1420,670
606,1407,703
606,1399,707
606,1404,706
606,1404,710
606,1393,723
606,1388,717
606,1389,711
606,1381,705
606,1382,702
606,1376,702
606,1361,682
606,1355,679
606,1347,682
606,1347,673
606,1343,668
606,1341,656
606,1335,656
606,1322,648
606,1312,638
606,1304,622
606,1295,624
606,1293,618
606,1279,606
606,1263,569
606,1265,538
606,1272,531
606,1279,541
606,1273,532
606,1277,494
606,1271,484
606,1275,480
606,1271,470
606,1276,468
606,1278,460
606,1292,441
606,1292,448
606,1295,450
606,1292,445
606,1304,434
606,1311,420
606,1322,417
606,1345,433
606,1355,432
606,1358,435
606,1356,436
606,1368,448
606,1375,464
606,1366,468
606,1378,479
606,1375,485
606,1378,482
606,1392,482
606,1394,478
606,1404,475
606,1419,478
606,1415,476
606,1420,473
606,1428,473
606,1431,477
606,1424,479
606,1434,479
606,1443,485
606,1438,481
606,1443,479
606,1436,479
606,1431,472
606,1459,476
606,1481,471
606,1487,474
606,1485,471
606,1488,469
606,1495,473
606,1488,479
606,1497,477
606,1507,485
606,1503,490
606,1511,488
606,1527,505
606,1520,513
606,1513,529
606,1527,506
606,1535,510
606,1506,546
606,1505,543
606,1499,552
606,1488,558
606,1478,569
606,1488,559
606,1493,558
606,1491,565
606,1480,578
606,1486,593
606,1459,619
606,1457,625
606,1461,630
606,1452,641
606,1449,652
606,1451,655
606,1453,641
606,1462,630
606,1458,625
606,1459,621
606,1487,593
606,1481,579
606,1491,567
606,1493,560
606,1515,539
606,1533,514
606,1549,498
606,1567,494
606,1571,489
606,1590,483
606,1577,486
606,1582,479
606,1577,477
606,1577,472
606,1595,476
606,1605,474
606,1597,480
606,1599,481
606,1608,475
606,1634,469
606,1669,456
606,1634,468
606,1626,464
606,1629,469
606,1617,471
606,1616,468
606,1621,462
606,1630,459
606,1625,457
606,1632,455
606,1633,452
606,1635,454
606,1637,449
606,1642,449
606,1646,445
606,1667,447
606,1632,459
606,1670,447
606,1688,448
606,1683,446
606,1686,441
606,1692,439
606,1707,421
606,1727,406
606,1760,389
606,1762,385
606,1753,375
606,1751,368
606,1766,358
606,1765,354
606,1760,362
606,1751,366
606,1749,372
606,1740,377
606,1751,372
606,1760,384
606,1759,388
606,1723,408
606,1710,420
606,1700,422
606,1698,418
606,1702,425
606,1699,428
606,1694,424
606,1685,436
606,1675,427
606,1677,421
606,1670,419
606,1669,409
606,1676,409
606,1674,415
606,1678,408
606,1682,408
606,1683,414
606,1692,422
606,1698,410
606,1695,413
606,1691,409
606,1695,414
606,1691,420
606,1684,414
606,1683,408
606,1676,407
606,1680,399
606,1686,402
606,1689,399
606,1684,397
606,1684,389
606,1674,382
606,1680,387
606,1678,394
606,1682,397
606,1674,407
606,1669,406
606,1672,400
606,1664,409
606,1654,399
606,1649,384
606,1619,381
606,1609,387
606,1606,384
606,1608,388
606,1604,393
606,1596,391
606,1601,395
606,1598,398
606,1584,394
606,1567,396
606,1564,400
606,1551,403
606,1589,395
606,1592,399
606,1605,395
606,1611,399
606,1605,395
606,1610,389
606,1617,395
606,1610,387
606,1623,382
606,1647,385
606,1660,408
606,1668,410
606,1668,415
606,1665,416
606,1668,420
606,1658,418
606,1659,415
606,1649,416
606,1621,398
606,1626,402
606,1624,405
606,1633,410
606,1629,412
606,1644,415
606,1649,422
606,1653,417
606,1661,421
606,1651,426
606,1638,440
606,1635,439
606,1636,445
606,1620,456
606,1622,458
606,1611,469
606,1603,473
606,1598,471
606,1599,467
606,1589,463
606,1589,457
606,1585,459
606,1577,456
606,1572,443
606,1582,441
606,1593,446
606,1616,441
606,1631,442
606,1630,440
606,1595,444
606,1587,440
606,1570,441
606,1553,436
606,1555,439
606,1548,438
606,1547,434
606,1550,434
606,1540,424
606,1517,413
606,1520,416
606,1517,418
606,1508,412
606,1509,407
606,1516,406
606,1489,407
606,1481,387
606,1472,384
606,1457,368
606,1468,382
606,1480,388
606,1486,401
606,1485,407
606,1463,410
606,1493,407
606,1530,425
606,1547,440
606,1539,443
606,1568,442
606,1571,446
606,1571,465
606,1567,472
606,1560,476
606,1558,474
606,1569,490
606,1563,494
606,1549,496
606,1535,509
606,1533,501
606,1538,495
606,1536,491
606,1537,494
606,1527,504
606,1512,488
606,1519,484
606,1512,487
606,1489,467
606,1482,470
606,1476,466
606,1478,472
606,1463,472
606,1460,475
606,1449,472
606,1436,473
606,1433,469
606,1402,472
606,1400,469
606,1403,463
606,1398,470
606,1395,469
606,1380,445
606,1390,462
606,1385,464
606,1377,461
606,1368,444
606,1356,431
606,1360,428
606,1347,428
606,1323,413
606,1323,400
606,1327,388
606,1333,388
606,1330,382
606,1337,361
606,1347,353
606,1356,353
606,1367,362
606,1363,356
606,1375,338
642,1536,316
642,1544,328
642,1550,331
642,1541,318
642,1538,318
672,1687,304
672,1691,312
672,1690,318
672,1700,330
672,1698,343
672,1701,330
672,1692,320
672,1688,304
676,1166,304
676,1192,320
676,1168,304
687,559,302
687,568,313
687,566,322
687,569,316
687,571,318
687,571,311
687,569,313
687,561,304
699,1139,297
699,1147,297
699,1161,303
699,1153,297
699,1147,297
709,385,296
709,381,307
709,382,317
709,378,322
709,382,320
709,385,297
735,1540,289
735,1537,295
735,1532,292
735,1536,294
735,1535,301
735,1526,300
735,1536,302
735,1538,315
735,1536,309
735,1544,299
735,1541,302
735,1537,300
735,1540,292
753,1661,284
753,1665,287
753,1683,287
753,1685,303
753,1685,287
753,1663,284
762,536,282
762,539,284
762,534,285
762,552,289
762,552,295
762,549,294
762,555,298
762,553,291
762,561,290
762,563,286
762,552,289
762,549,285
762,537,282
770,1454,280
770,1465,281
770,1467,284
770,1464,287
770,1474,287
770,1474,283
770,1470,284
770,1463,280
771,1128,280
771,1151,285
771,1148,282
771,1129,280
776,1790,278
776,1781,288
776,1784,299
776,1782,322
776,1775,325
776,1774,316
776,1774,325
776,1766,329
776,1764,338
776,1766,351
776,1767,329
776,1775,328
776,1783,322
776,1785,300
776,1782,288
776,1790,280
793,1772,273
793,1778,281
793,1778,300
793,1779,280
793,1773,274
798,1087,272
798,1107,287
798,1089,274
861,432,251
861,444,271
861,449,275
861,433,252
885,492,234
885,492,241
885,481,257
885,491,242
885,497,238
885,495,237
887,1012,232
